COUNTRY_REGION|STATE|DATE|CONFIRMED_HM|DEATHS_HM|RECOVERED_HM|ACTIVE_HM|DELTA_CONFIRMED_HM|DELTA_DEATHS_HM|DELTA_RECOVERED_HM|DELTA_ACTIVE_HM|UCI_HM|DELTA_UCI_HM|TESTS_HM|DELTA_TESTS_HM|LAST_UPDATE
Mexico|COLIMA|2020-05-22|91.0|12.0|40.0|39.0|||||||||2020-06-04
Mexico|DURANGO|2020-05-22|194.0|23.0|125.0|46.0|||||||||2020-06-04
Mexico|ZACATECAS|2020-05-22|213.0|27.0|140.0|46.0|||||||||2020-06-04
Mexico|CAMPECHE|2020-05-22|354.0|50.0|210.0|94.0|||||||||2020-06-04
Mexico|NAYARIT|2020-05-22|362.0|38.0|212.0|112.0|||||||||2020-06-04
Mexico|BAJA CALIFORNIA SUR|2020-05-22|502.0|29.0|406.0|67.0|||||||||2020-06-04
Mexico|SAN LUIS POTOSI|2020-05-22|558.0|25.0|339.0|194.0|||||||||2020-06-04
Mexico|AGUASCALIENTES|2020-05-22|586.0|21.0|402.0|163.0|||||||||2020-06-04
Mexico|QUERETARO|2020-05-22|592.0|61.0|247.0|284.0|||||||||2020-06-04
Mexico|TLAXCALA|2020-05-22|677.0|117.0|363.0|197.0|||||||||2020-06-04
Mexico|COAHUILA DE ZARAGOZA|2020-05-22|772.0|62.0|578.0|132.0|||||||||2020-06-04
Mexico|OAXACA|2020-05-22|808.0|89.0|360.0|359.0|||||||||2020-06-04
Mexico|CHIAPAS|2020-05-22|895.0|64.0|441.0|390.0|||||||||2020-06-04
Mexico|GUANAJUATO|2020-05-22|897.0|84.0|517.0|296.0|||||||||2020-06-04
Mexico|GUERRERO|2020-05-22|984.0|147.0|599.0|238.0|||||||||2020-06-04
Mexico|JALISCO|2020-05-22|1028.0|96.0|620.0|312.0|||||||||2020-06-04
Mexico|NUEVO LEON|2020-05-22|1036.0|58.0|645.0|333.0|||||||||2020-06-04
